模型,方法,STEP数量(Token数),日志文件路径
codellama-7b,AdaDynL,24134,mbpp+_outputs/codellama-7b/AdaDynL/codellama-7b.log
codellama-7b,AdaFixL,23316,mbpp+_outputs/codellama-7b/AdaFixL/codellama-7b.log
codellama-7b,Traditional,37588,mbpp+_outputs/codellama-7b/Traditional/codellama-7b.log
codellama-7b,beamsearch_3,25981,mbpp+_outputs/codellama-7b/beamsearch_3/codellama-7b.log
deepseek-1.3b,AdaDynL,14345,mbpp+_outputs/deepseek-1.3b/AdaDynL/deepseek-1.3b.log
deepseek-1.3b,AdaFixL,15904,mbpp+_outputs/deepseek-1.3b/AdaFixL/deepseek-1.3b.log
deepseek-1.3b,Traditional,11855,mbpp+_outputs/deepseek-1.3b/Traditional/deepseek-1.3b.log
deepseek-1.3b,beamsearch_3,15449,mbpp+_outputs/deepseek-1.3b/beamsearch_3/deepseek-1.3b.log
deepseek-6.7b,AdaDynL,14782,mbpp+_outputs/deepseek-6.7b/AdaDynL/deepseek-6.7b.log
deepseek-6.7b,AdaFixL,14995,mbpp+_outputs/deepseek-6.7b/AdaFixL/deepseek-6.7b.log
deepseek-6.7b,Traditional,14980,mbpp+_outputs/deepseek-6.7b/Traditional/deepseek-6.7b.log
deepseek-6.7b,beamsearch_3,17984,mbpp+_outputs/deepseek-6.7b/beamsearch_3/deepseek-6.7b.log
qwen3-0.6b,AdaDynL,28492,mbpp+_outputs/qwen3-0.6b/AdaDynL/qwen3-0.6b.log
qwen3-0.6b,AdaFixL,32396,mbpp+_outputs/qwen3-0.6b/AdaFixL/qwen3-0.6b.log
qwen3-0.6b,Traditional,141943,mbpp+_outputs/qwen3-0.6b/Traditional/qwen3-0.6b.log
qwen3-0.6b,beamsearch_3,15004,mbpp+_outputs/qwen3-0.6b/beamsearch_3/qwen3-0.6b.log
qwen3-1.7b,AdaDynL,21276,mbpp+_outputs/qwen3-1.7b/AdaDynL/qwen3-1.7b.log
qwen3-1.7b,AdaFixL,25202,mbpp+_outputs/qwen3-1.7b/AdaFixL/qwen3-1.7b.log
qwen3-1.7b,Traditional,35555,mbpp+_outputs/qwen3-1.7b/Traditional/qwen3-1.7b.log
qwen3-1.7b,beamsearch_3,19743,mbpp+_outputs/qwen3-1.7b/beamsearch_3/qwen3-1.7b.log
qwen3-4b,AdaDynL,21252,mbpp+_outputs/qwen3-4b/AdaDynL/qwen3-4b.log
qwen3-4b,AdaFixL,31112,mbpp+_outputs/qwen3-4b/AdaFixL/qwen3-4b.log
qwen3-4b,Traditional,49856,mbpp+_outputs/qwen3-4b/Traditional/qwen3-4b.log
qwen3-4b,beamsearch_3,16050,mbpp+_outputs/qwen3-4b/beamsearch_3/qwen3-4b.log
qwen3-8b,AdaDynL,21159,mbpp+_outputs/qwen3-8b/AdaDynL/qwen3-8b.log
qwen3-8b,AdaFixL,23918,mbpp+_outputs/qwen3-8b/AdaFixL/qwen3-8b.log
qwen3-8b,Traditional,24554,mbpp+_outputs/qwen3-8b/Traditional/qwen3-8b.log
qwen3-8b,beamsearch_3,12618,mbpp+_outputs/qwen3-8b/beamsearch_3/qwen3-8b.log
stable-3b,AdaDynL,15966,mbpp+_outputs/stable-3b/AdaDynL/stable-3b.log
stable-3b,AdaFixL,16695,mbpp+_outputs/stable-3b/AdaFixL/stable-3b.log
stable-3b,Traditional,15123,mbpp+_outputs/stable-3b/Traditional/stable-3b.log
stable-3b,beamsearch_3,17133,mbpp+_outputs/stable-3b/beamsearch_3/stable-3b.log
